"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","trial_duration","targFace","targCol","targOutcome","corr"
"pavlovia","0","3","0.0-0.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","","","","","","","","","","","","","","","","","",""
"instructions","1","1609","0.0-1.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","[{""page_index"":0,""viewing_time"":1606}]","1606","","","","","","","","","","","","","","","","",""
"","","","","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","","fullscreenenter","2","4460","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","5440","0.0-2.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","","","","","","true","","","","","","","","","","","",""
"instructions","3","48887","0.0-4.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","[{""page_index"":0,""viewing_time"":14443},{""page_index"":1,""viewing_time"":15021},{""page_index"":2,""viewing_time"":5741},{""page_index"":3,""viewing_time"":3651},{""page_index"":4,""viewing_time"":4590}]","43446","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","49392","0.0-5.0-1.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","5","52395","0.0-5.0-2.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw012.bmp","1,0","Match","e","3000","","","",""
"html-keyboard-response","6","56400","0.0-5.0-3.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","7","58039","0.0-5.0-4.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","1638","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw012.bmp","1,0","Match","e","","trustrating_stim/white_mw012.bmp","red","Keep","1"
"html-keyboard-response","8","58541","0.0-5.0-5.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","9","59042","0.0-5.0-1.1","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","10","63546","0.0-5.0-2.1","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","3","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw013.bmp","0,0,1","Match","e","4500","","","",""
"html-keyboard-response","11","67551","0.0-5.0-3.1","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","12","68369","0.0-5.0-4.1","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","816","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","3","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw013.bmp","0,0,1","Match","e","","trustrating_stim/white_mw003.bmp","red","Keep","1"
"html-keyboard-response","13","68872","0.0-5.0-5.1","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","14","69376","0.0-5.0-1.2","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","15","72381","0.0-5.0-2.2","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw015.bmp","0,1","noMatchOutcome","i","3000","","","",""
"html-keyboard-response","16","76383","0.0-5.0-3.2","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","17","77406","0.0-5.0-4.2","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","1022","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw015.bmp","0,1","noMatchOutcome","i","","trustrating_stim/white_mw015.bmp","red","Keep","0"
"html-keyboard-response","18","77908","0.0-5.0-5.2","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","19","78410","0.0-5.0-1.3","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","20","79915","0.0-5.0-2.3","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_mw003.bmp","1","noMatchFace","i","1500","","","",""
"html-keyboard-response","21","83920","0.0-5.0-3.3","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","22","84761","0.0-5.0-4.3","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","840","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","1","trustrating_stim/white_mw003.bmp","1","noMatchFace","i","","trustrating_stim/white_00050_931230_fa_edt.bmp","green","Share","0"
"html-keyboard-response","23","85263","0.0-5.0-5.3","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","24","85764","0.0-5.0-1.4","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","25","90267","0.0-5.0-2.4","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","3","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw038.bmp","1,1,0","noMatchOutcome","i","4500","","","",""
"html-keyboard-response","26","94270","0.0-5.0-3.4","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","27","95085","0.0-5.0-4.4","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","814","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","3","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw038.bmp","1,1,0","noMatchOutcome","i","","trustrating_stim/white_mw038.bmp","green","Share","1"
"html-keyboard-response","28","95588","0.0-5.0-5.4","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","29","96089","0.0-5.0-1.5","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","30","97593","0.0-5.0-2.5","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","1","trustrating_stim/white_mw015.bmp","0","Match","e","1500","","","",""
"html-keyboard-response","31","101598","0.0-5.0-3.5","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","32","102581","0.0-5.0-4.5","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","982","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","1","trustrating_stim/white_mw015.bmp","0","Match","e","","trustrating_stim/white_mw015.bmp","red","Keep","1"
"html-keyboard-response","33","103082","0.0-5.0-5.5","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"instructions","34","104517","0.0-6.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","[{""page_index"":0,""viewing_time"":1434}]","1435","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","105017","0.0-7.0-1.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","36","108022","0.0-7.0-2.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw091.bmp","1,0","noMatchFace","i","3000","","","",""
"html-keyboard-response","37","112025","0.0-7.0-3.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","38","113254","0.0-7.0-4.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","1228","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw091.bmp","1,0","noMatchFace","i","","trustrating_stim/white_00050_931230_fa_edt.bmp","green","Share","1"
"html-keyboard-response","39","113758","0.0-7.0-5.0","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","40","114259","0.0-7.0-1.1","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","41","115764","0.0-7.0-2.1","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","1","trustrating_stim/white_mw091.bmp","0","noMatchFace","i","1500","","","",""
"html-keyboard-response","42","119768","0.0-7.0-3.1","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","43","121047","0.0-7.0-4.1","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","1277","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","1","trustrating_stim/white_mw091.bmp","0","noMatchFace","i","","trustrating_stim/white_mw070.bmp","red","Keep","1"
"html-keyboard-response","44","121550","0.0-7.0-5.1","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","45","122051","0.0-7.0-1.2","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
